,ORF,NAME,alpha 0,alpha 7,alpha 14,alpha 21,alpha 28,alpha 35,alpha 42,alpha 49,alpha 56,alpha 63,alpha 70,alpha 77,alpha 84,alpha 91,alpha 98,alpha 105,alpha 112,alpha 119,Elu 0,Elu 30,Elu 60,Elu 90,Elu 120,Elu 150,Elu 180,Elu 210,Elu 240,Elu 270,Elu 300,Elu 330,Elu 360,Elu 390,cdc15 10,cdc15 30,cdc15 50,cdc15 70,cdc15 90,cdc15 110,cdc15 130,cdc15 150,cdc15 170,cdc15 190,cdc15 210,cdc15 230,cdc15 250,cdc15 270,cdc15 290,spo 0,spo 2,spo 5,spo 7,spo 9,spo 11,spo5 2,spo5 7,spo5 11,spo- early,spo- mid,heat 0,heat 10,heat 20,heat 40,heat 80,heat 160,dtt 15,dtt 30,dtt 60,dtt 120,cold 0,cold 20,cold 40,cold 160,diau a,diau b,diau c,diau d,diau e,diau f,diau g,km
2373,YPL248C,GAL4   GALACTOSE REGULATION     TRANSCRIPTIONAL ACTIVATOR,-0.06,-0.29,-0.29,0.01,-0.18,-0.29,-0.15,-0.3,-0.18,0.03,0.06,-0.17,-0.15,-0.14,-0.01,-0.29,-0.06,-0.36,0.01,-0.54,-0.22,0.03,-0.3,-0.22,-0.45,-0.23,-0.29,-0.2,-0.29,-0.32,-0.56,0.03,-0.42,0.4,-0.27,-0.17,0.04,-0.03,0.12,1.01,-0.25,-0.29,-0.01,0.18,0.07,0.11,0.23,-0.47,-0.47,-0.43,-0.38,-0.38,-0.42,,-0.34,-0.47,-0.42,-0.58,0.12,0.48,-0.15,-0.04,-0.34,0.53,-0.71,-0.62,-0.22,-0.38,-0.1,0.32,0.8,0.57,-0.2,-0.1,-0.25,-0.42,-0.56,-0.74,-0.76,0
2028,YNR033W,ABZ1   PABA BIOSYNTHESIS     PARA-AMINOBENZOATE SYNTHASE,-0.14,-0.1,-0.06,0.6,0.19,,0.25,-0.17,-0.01,-0.27,-0.12,0.01,0.15,-0.32,-0.12,-0.17,,-0.29,-0.4,-0.27,-0.23,-0.09,-0.17,-0.4,-0.03,-0.04,0.21,0.28,-0.43,0.44,-0.09,0.24,0.12,-0.04,,0.07,0.07,0.2,0.15,0.15,0.07,0.11,-0.09,-0.51,-0.04,-0.01,-0.1,-0.2,-1.94,-2.25,-2.47,-2.64,-2.94,0.41,-0.47,-0.38,-2.0,-2.32,0.23,0.31,0.53,0.71,0.43,0.23,-0.69,-0.4,-0.43,-0.71,0.53,-0.07,0.55,0.9,0.07,0.14,-0.17,-0.36,-0.42,0.06,-0.45,1
1481,YKR026C,GCN3   TRANSLATION      TRANSLATION INITIATION FACTOR EIF2B,0.1,-0.22,-0.2,0.1,-0.15,-0.15,-0.1,-0.2,0.03,-0.15,-0.01,-0.25,0.08,-0.27,-0.15,-0.27,-0.38,-0.23,-0.38,0.03,0.08,0.25,0.45,0.1,0.03,0.07,-1.22,-0.03,0.04,-0.32,-0.29,-0.1,0.28,0.23,0.18,-0.1,-0.04,-0.01,0.18,0.06,-0.03,-0.04,-0.01,-0.6,0.06,-0.12,-0.01,-0.36,-0.12,0.03,-0.6,-0.36,-0.79,-0.25,-0.79,-0.47,-0.64,-0.07,-0.32,-1.22,-0.67,-0.45,-0.51,,-0.04,-0.43,-0.62,-0.67,-0.12,-0.01,-0.27,0.03,0.36,0.29,0.01,-0.1,-0.3,-0.79,-1.56,8
1264,YJL127C,SPT10  TRANSCRIPTION       TRANSCRIPTIONAL REGULATOR,-0.3,-0.67,-0.56,-0.12,-0.45,-0.49,-0.32,-0.38,-0.22,0.14,-0.38,-0.07,-0.62,-0.4,-0.69,0.03,-0.54,-0.09,-0.64,-0.23,-0.03,-0.03,-0.04,-0.22,-0.15,-0.09,-0.14,-0.03,-0.3,-0.2,-0.18,-0.06,-0.06,-0.03,0.07,-0.3,-0.64,-0.25,-0.38,0.04,0.11,-0.45,-0.51,-0.12,-0.79,-0.38,-0.54,-0.47,,0.28,0.28,,-0.67,-0.58,-0.89,-0.84,,0.87,0.07,-0.18,0.14,0.07,-0.01,0.58,-0.67,-0.14,-0.62,-0.27,-0.3,0.82,0.41,0.38,-0.34,-0.47,-0.06,-0.29,-0.23,-0.18,-0.45,0
1882,YNL005C,"MRP7   PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN, MITOCHONDRIAL LARGE SUBUNIT",-0.23,0.01,0.08,0.12,-0.15,0.16,0.06,-0.09,-0.1,-0.06,-0.29,,-0.25,-0.12,-0.2,-0.38,0.03,-0.04,0.11,-0.01,-0.34,-0.09,0.19,-0.12,0.21,0.26,0.19,0.16,-0.01,-0.06,0.01,0.11,0.1,-0.01,-0.2,-0.17,0.21,0.32,0.52,0.76,0.63,0.48,0.4,0.25,0.95,0.72,0.88,-0.45,-0.45,-0.67,-1.09,-1.32,-1.12,0.14,-0.45,-0.67,-0.71,-0.51,-0.14,0.03,0.01,-0.92,-0.71,-0.04,0.18,0.21,0.16,0.04,-0.38,0.28,-0.42,0.14,-0.09,-0.3,-0.17,0.2,-0.04,1.1,0.12,6
2456,YPR185W,APG13  AUTOPHAGY        UNKNOWN,-0.47,,,0.37,,0.03,-0.17,-0.22,-0.42,0.04,-0.27,0.12,-0.09,-0.15,,-0.23,-0.22,-0.22,-0.2,-0.1,-0.74,0.4,-0.15,0.14,0.01,0.31,0.16,0.07,0.15,0.21,0.2,0.18,-0.45,-0.27,0.03,-0.67,-0.64,-0.56,-0.25,0.1,0.14,-0.69,-0.49,-0.23,-0.03,-0.01,,0.12,0.41,0.64,0.64,-0.12,-0.04,-0.01,-0.14,0.04,2.06,2.48,0.23,,-0.03,0.51,0.1,0.78,-0.18,-0.27,-0.15,0.21,-0.29,0.36,0.01,0.34,0.03,-0.27,0.46,0.5,0.04,0.78,-0.06,5
1242,YJL073W,JEM1   MATING; NUCLEAR FUSION   DNAJ-LIKE PROTEIN,-0.03,-0.2,0.77,0.96,0.25,,-0.17,-0.42,-0.47,-0.23,-0.18,0.24,0.03,-0.2,-0.3,-0.38,-0.56,-0.3,-1.43,-0.74,-0.12,-0.32,0.3,0.11,0.33,0.21,-0.07,0.07,0.07,-0.27,-0.67,-0.07,-0.36,-0.27,-0.23,-0.6,-0.71,-0.71,-0.27,-0.17,-0.18,-0.71,-0.74,-0.4,-0.45,-0.42,-0.42,0.06,0.31,0.42,0.34,0.23,0.16,,-0.27,-0.49,1.13,1.12,-0.15,0.28,0.15,0.26,-0.04,0.56,0.86,0.66,0.96,0.93,-0.36,0.3,0.28,0.33,0.03,-0.01,-0.03,-0.47,-0.42,-0.67,-0.62,5
1194,YIL171W,HXT12  TRANSPORT        HEXOSE PERMEASE,0.6,0.41,0.58,0.5,0.23,0.36,0.1,0.21,0.16,0.08,0.66,0.21,0.33,0.37,0.16,0.16,-0.06,0.1,0.21,-0.17,-0.1,-0.27,-0.27,-0.25,-0.36,-0.22,-0.51,-0.58,-0.3,-0.79,-0.23,-0.09,-0.01,0.72,0.01,-0.71,-0.81,-0.47,-0.3,-0.86,-0.51,-0.23,-0.84,-0.17,-0.38,-0.32,0.03,-0.03,0.61,1.2,1.47,0.96,0.61,-0.42,0.18,-0.1,1.24,1.07,-0.03,0.26,0.41,-0.04,0.08,0.37,0.01,0.6,0.44,-0.6,0.04,0.82,0.94,0.19,-0.38,-0.3,0.12,-0.12,-0.34,0.42,0.12,5
2217,YOR269W,PAC1   CYTOSKELETON (PUTATIVE)  UNKNOWN; REQUIRED IN THE ABSENCE OF CIN8P,-0.2,-0.18,0.03,-0.03,0.12,-0.07,-0.17,-0.14,-0.07,0.01,0.04,-0.22,-0.12,-0.25,0.06,-0.09,-0.27,-0.23,-0.2,-0.27,,0.16,0.04,-0.15,-0.09,-0.34,-0.18,-0.09,-0.2,-0.34,-0.27,-0.47,0.43,-0.42,-0.67,-0.07,-0.15,0.14,-0.18,-0.22,-0.04,-0.03,-0.07,0.25,-0.43,-0.15,0.29,-0.22,-0.25,-0.2,-0.04,-0.09,-0.12,-0.71,-0.23,0.19,-1.06,-0.67,0.01,-0.17,-0.3,-0.51,-0.3,-0.07,-0.07,-0.67,-0.3,-0.45,-0.06,2.68,0.31,0.36,0.18,0.03,0.54,-0.36,-0.42,0.12,-0.4,0
47,YBL020W,RFT1   CELL CYCLE       UNKNOWN,0.19,-0.94,-0.49,-0.22,-0.15,,0.06,0.11,-0.15,-0.25,-0.81,0.07,0.11,-0.06,0.04,0.36,-0.29,,-0.94,-0.58,-0.54,0.24,0.04,0.1,0.14,0.1,-0.15,0.11,0.46,0.03,-0.47,-0.42,-0.04,0.63,0.08,-0.56,-0.45,0.19,0.06,0.33,0.51,,-0.04,0.38,-0.84,-0.18,-0.94,0.3,0.42,0.53,0.37,0.42,0.64,-0.03,-0.1,-0.01,0.4,0.29,0.2,-0.51,-0.64,-0.17,0.14,-0.64,-0.06,-1.09,-0.1,-0.58,-0.01,-0.27,0.11,0.93,0.36,0.11,0.9,-0.07,-0.56,-0.07,0.2,3
1895,YNL032W,SIW14  CELL CYCLE       TYROSINE PHOSPHATASE,-0.71,-0.49,-0.89,-0.43,-0.04,-0.18,-0.25,-0.47,-0.32,-0.64,-0.38,-0.38,-0.03,-0.54,-0.07,-0.36,-0.49,-0.43,-0.2,-0.79,-0.69,-0.54,-0.25,,0.03,0.07,,0.2,0.01,-0.01,,-0.43,-0.3,0.52,-0.15,-0.09,-0.54,0.01,0.16,0.06,0.04,-0.1,-0.62,-0.17,-0.06,-0.01,0.19,-0.15,-0.27,-0.07,0.11,0.11,-0.07,-0.15,-0.04,-0.18,-0.22,-0.09,-0.27,-1.06,-0.47,-1.12,-0.74,0.04,-0.25,0.18,-0.38,-0.6,-0.47,0.39,-0.22,-0.23,-0.1,-0.18,-0.07,-0.4,-0.15,-0.01,-0.51,9
2256,YOR363C,PIP2   PEROXISOME PROLIFERATION TRANSCRIPTION FACTOR,,-0.09,-0.07,-0.07,0.01,-0.09,0.06,-0.2,0.12,-0.18,-0.01,-0.09,-0.1,-0.25,-0.04,0.16,-0.04,0.01,-0.17,-0.3,-0.07,-0.23,-0.32,-0.3,0.01,-0.23,-0.06,-0.04,-0.29,-0.09,-0.29,-0.2,-0.4,0.1,-0.27,-0.38,-0.81,-1.06,-0.69,1.71,-0.29,-1.06,-0.47,0.18,-0.81,-0.58,-0.62,-0.27,-0.29,-1.36,-1.56,-1.18,-0.56,0.72,-0.18,0.42,-0.71,-1.36,-0.36,0.3,0.2,0.46,0.38,0.37,-0.71,-0.69,-0.58,-0.81,0.33,0.61,0.33,0.48,0.03,-0.18,-0.32,-0.58,-0.32,-0.18,-0.04,0
2116,YOR033C,DHS1   DNA REPAIR       EXONUCLEASE; ALSO RECOMBINATION,-0.3,-0.34,0.45,0.58,0.12,-0.1,-0.14,-0.29,-0.2,-0.27,0.32,0.41,0.25,-0.12,-0.04,0.04,-0.2,-0.25,-0.84,-0.69,-0.51,-0.27,0.04,0.08,0.19,0.1,-0.15,-0.29,-0.45,-0.42,-0.34,-0.45,0.36,1.1,0.69,-0.4,-0.4,-0.58,0.15,0.54,0.18,-0.47,-0.71,0.44,0.01,-0.42,-0.36,-0.3,1.34,3.2,3.79,3.88,3.83,-1.89,1.04,0.87,1.99,2.14,-0.04,-0.18,-0.06,,0.06,,-0.29,-0.47,-0.58,-0.3,-0.3,0.42,-0.22,0.31,-0.04,-0.03,-0.17,-0.32,-0.3,-0.84,0.1,7
1784,YMR056C,AAC1   TRANSPORT        MITOCHONDRIAL ADP/ATP TRANSLOCATOR,-0.18,-0.58,-0.09,-0.43,,-0.14,0.14,-0.3,-0.15,,-0.51,-0.74,-0.2,-0.47,-0.12,-0.42,-0.04,-0.56,-0.15,-1.22,-0.71,-0.17,-0.62,-0.84,-0.62,-0.29,-0.12,-0.4,-0.71,0.08,0.38,-0.09,-0.09,0.03,0.06,0.45,0.28,-0.36,0.12,0.12,-0.4,-0.15,0.11,-0.03,-0.49,-0.4,-0.38,-0.4,1.01,1.89,1.97,1.51,1.14,-0.79,-0.29,-0.86,1.94,1.96,0.04,0.59,0.11,0.49,0.45,-0.1,-0.6,-0.58,-0.64,-0.49,0.04,0.46,-0.56,-0.47,-0.2,-0.2,0.28,0.28,0.7,1.29,2.21,5
1487,YKR048C,NAP1   CHROMATIN STRUCTURE    NUCLEOSOME ASSEMBLY PROTEIN,0.07,-0.42,-0.09,-0.25,,-0.34,0.34,-0.07,0.2,-0.04,-0.03,-0.29,-0.22,-0.62,-0.12,-0.18,0.1,-0.15,0.48,0.28,-0.29,-0.15,-0.18,-0.06,-0.15,0.21,0.54,-0.06,0.19,0.39,0.33,0.16,0.24,-0.01,0.11,0.11,0.25,0.19,-0.03,-0.12,-0.15,-0.03,0.14,-0.43,0.32,-0.07,0.16,0.24,0.39,-0.23,,-0.4,-0.51,0.94,-0.42,-0.07,0.18,-0.07,0.06,0.06,0.01,0.51,0.51,0.67,0.3,-0.76,0.03,0.14,-0.1,-0.29,0.04,-0.12,-0.47,-0.12,0.43,-0.2,-0.14,0.43,0.34,6
148,YBR114W,"RAD16  DNA REPAIR, NUCLEOTIDE E NEF4 COMPONENT",0.08,-0.49,-0.74,-0.18,-0.36,0.25,-0.32,0.23,-0.51,0.14,-0.54,0.38,-0.09,-0.18,-1.09,0.24,-0.64,0.49,-0.34,-0.43,0.07,0.01,-0.06,-0.1,-0.07,0.21,0.15,0.06,-1.4,-0.32,-0.69,0.1,-0.49,0.03,-0.18,0.3,-1.03,-0.51,-0.74,0.77,1.12,-1.09,-0.42,0.19,-1.22,-0.58,-0.81,0.63,-0.34,-0.2,-0.14,0.23,-0.06,0.42,0.28,0.77,-0.07,-0.07,0.9,0.63,0.21,0.86,0.4,-0.36,-0.49,-0.45,-0.1,-0.1,0.36,-0.12,0.59,-0.07,-0.74,-0.25,0.06,-0.38,-0.67,0.32,-0.27,0
928,YGR077C,PEX8   PEROXISOME BIOGENESIS    UNKNOWN,-0.18,-0.2,-0.12,0.15,-0.22,-0.6,-0.14,-0.43,-0.32,-0.3,-0.42,-0.29,-0.18,-0.6,-0.47,-0.45,-0.25,-0.38,0.23,-0.34,-0.4,-0.6,-0.43,-0.34,-0.62,-0.12,-0.09,-0.3,-0.04,,-0.25,0.1,0.18,-0.29,-0.34,0.01,0.51,0.36,-0.69,0.21,-0.2,0.06,0.12,-0.94,0.06,-0.12,,-0.43,-0.09,-0.32,-0.54,-0.12,0.34,0.31,-0.6,0.21,-0.01,-0.01,-0.01,0.81,0.18,-0.2,0.49,0.52,-0.32,-0.6,-0.4,-0.47,-0.15,0.28,0.31,0.86,-0.2,0.01,0.5,-0.01,0.11,0.74,0.26,0
188,YBR191W,RPL21A PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L21A,-0.17,-0.42,-0.51,-0.36,-0.38,-0.69,-0.07,0.11,-0.23,-0.45,-0.2,0.31,-0.15,-0.25,-0.03,0.16,0.12,0.24,-1.0,0.16,-0.34,0.24,0.26,0.24,0.11,0.6,0.37,0.39,0.07,0.14,-0.03,0.21,-0.38,-0.15,0.08,0.25,0.2,0.21,0.21,0.31,0.23,0.15,0.18,1.01,0.03,-0.07,0.11,-0.43,-0.42,-0.43,-0.71,-0.1,-0.27,0.14,0.06,0.23,-0.09,-0.12,-0.29,-1.64,-2.64,-1.89,-1.18,-1.06,0.39,0.04,-0.67,-1.32,-0.67,-0.38,-2.0,-2.18,0.07,-0.25,0.06,-0.25,-0.56,-1.74,-2.64,8
66,YBL052C,SAS3   SILENCING        UNKNOWN,-0.14,-0.79,-0.69,-0.47,-0.38,0.15,-0.09,0.28,-0.22,0.51,-0.62,0.3,-0.3,0.12,-0.14,-0.17,0.12,-0.1,-0.81,-0.22,-0.38,-0.01,-0.1,-0.01,0.03,-0.23,-0.23,-0.32,0.03,-0.47,-0.76,-0.47,-0.79,-1.12,-0.27,-0.07,-0.32,-0.49,-0.81,-1.0,-0.3,-0.4,-0.69,0.29,-0.67,-0.56,-0.58,-0.12,0.18,0.01,0.36,0.36,0.49,-0.32,0.04,0.32,0.4,0.32,-0.09,-1.22,-0.09,-0.34,-0.36,0.03,-0.67,-0.36,-0.56,-0.23,0.48,0.34,-0.06,0.82,-0.07,0.03,0.01,-0.23,-0.3,-0.49,-0.74,9
1286,YJL177W,RPL17B PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L17B,0.2,-0.15,-0.2,-0.06,0.08,-0.18,0.2,0.14,0.07,-0.1,0.1,-0.14,0.21,-0.22,0.57,-0.04,0.6,-0.06,-0.47,0.14,0.28,0.33,0.64,0.58,0.58,0.43,0.21,0.21,0.2,0.16,-0.2,-0.09,-0.38,-0.15,0.18,0.18,0.31,0.12,-0.54,0.23,-0.04,-0.17,0.06,0.1,0.1,-0.17,-0.04,-0.18,-2.12,-2.84,-2.56,-1.74,-0.92,0.78,-0.38,0.95,-3.84,-3.47,-0.2,-1.6,-2.64,-1.79,-0.84,-0.56,0.31,-0.09,-0.6,-1.09,-0.1,-0.56,0.1,-2.06,0.33,0.14,0.14,-0.42,-0.62,-1.94,-2.4,2
2057,YOL033W,MSE1   PROTEIN SYNTHESIS     MITOCHONDRIAL GLUTAMYL-TRNA SYNTHETASE,-0.17,-0.34,-0.04,-0.2,-0.12,-0.45,-0.04,-0.2,-0.3,-0.15,-0.3,-0.1,-0.09,-0.45,-0.4,-0.36,-0.2,0.36,-0.34,-0.49,-0.51,-0.12,-0.14,-0.04,-0.27,0.04,0.11,0.01,-0.43,-0.14,-0.27,-0.2,0.04,0.03,-0.18,-0.25,0.15,0.18,0.48,0.53,-0.27,0.19,0.26,-0.2,0.49,0.52,0.53,-0.42,0.01,-0.12,,-0.47,-0.76,0.07,,-1.6,0.08,,-0.15,,-0.18,0.55,-0.3,-0.38,0.24,-0.32,-0.34,-0.71,0.03,0.6,-0.54,-0.94,-0.27,-0.47,-0.27,-0.27,-0.14,-0.25,-0.89,9
1722,YML060W,OGG1   DNA REPAIR       8-OXOGUANINE DNA GLYCOSYLASE,-0.15,-0.71,0.21,0.45,0.49,-0.06,0.12,-0.49,-0.36,-0.14,0.07,0.32,0.2,0.1,-0.09,-0.22,-0.18,-0.47,-1.84,-0.62,-0.94,-0.45,-0.12,-0.34,-0.3,-0.18,-0.4,-0.43,-0.67,-0.64,-1.25,-0.64,0.36,-0.09,0.76,-0.1,-0.34,-0.89,0.2,0.39,-0.86,-0.17,-0.58,-0.51,-0.47,-0.3,-0.29,-0.58,0.85,0.68,0.73,0.11,-0.23,0.2,-0.56,-1.22,1.52,0.95,-0.32,-1.12,0.29,0.23,0.18,-0.01,-0.36,-0.89,-0.92,-0.62,-0.47,0.58,-0.54,-0.64,-0.2,0.1,0.21,-0.17,-0.43,0.18,-0.03,5
438,YDR073W,SNF11  TRANSCRIPTION       COMPONENT OF SWI/SNF GLOBAL ACTIVATOR COMPLEX,0.16,0.07,,-0.1,-0.4,-0.03,-0.38,0.08,0.19,-0.27,0.28,-0.15,0.03,-0.2,0.06,0.33,-0.01,-0.17,0.1,-0.17,0.01,-0.32,0.11,0.1,0.23,0.18,-0.25,-0.09,-0.01,-0.09,-0.1,-0.04,0.33,0.41,0.4,0.21,0.34,0.34,0.29,0.3,-0.03,0.19,0.29,0.14,0.23,0.08,0.34,-0.54,-1.47,-1.79,-1.56,-1.56,-1.84,0.16,-0.15,-0.25,-0.4,-0.62,0.07,0.3,-0.12,-0.45,-0.2,0.16,-0.29,-0.29,-0.18,-0.38,-0.18,0.39,0.24,,0.03,0.19,0.32,0.08,-0.38,0.62,0.3,1
1029,YHL016C,DUR3   TRANSPORT        UREA PERMEASE,,-0.17,0.14,-0.27,-0.06,-0.06,0.16,-0.12,-0.22,-0.42,-0.42,-0.49,-0.29,-0.2,-0.18,-0.12,-0.01,,-0.29,-0.47,-0.36,-0.45,-0.38,-0.62,-0.34,-0.34,-0.45,-0.45,-0.74,-0.4,-0.79,-0.25,-0.42,-0.04,-0.42,-0.49,-0.34,-0.18,-0.45,0.14,0.01,-0.79,-0.38,0.19,-1.15,-0.12,-0.6,-0.56,0.73,0.43,0.9,0.45,0.16,-0.03,-0.43,0.29,1.56,1.39,-0.09,0.2,-0.04,0.26,0.25,0.64,-0.36,-0.32,-0.45,-0.4,0.23,0.51,0.34,0.38,-0.36,-0.09,0.21,-0.79,-0.62,0.57,0.45,5
2247,YOR344C,TYE7   GLYCOLYSIS       BASIC H-L-H TRANSCRIPTION FACTOR,1.24,1.29,0.16,0.15,-0.12,0.31,0.03,-0.04,-0.17,0.19,-0.4,-0.4,-0.01,-0.09,-0.25,-0.56,-0.38,-0.34,1.37,0.55,-0.22,0.31,0.33,-0.18,-0.38,-0.32,-0.74,-0.56,-0.22,-0.4,-0.58,-0.27,-0.47,-0.34,-0.47,-0.04,-0.09,-0.23,-0.25,0.87,1.38,-0.42,-0.23,-0.06,-0.84,0.08,-0.47,0.04,-1.47,-2.47,-3.47,-1.69,-2.56,0.81,-1.29,0.37,-0.92,-4.06,-0.01,-0.03,-0.81,-1.25,-1.47,-0.94,0.23,0.34,0.63,0.5,-0.58,0.31,-0.18,-0.71,0.11,0.15,-0.1,-0.3,-0.23,-0.51,-1.32,1
1704,YML008C,ERG6   STEROL METABOLISM     S-ADENOSYL-METHIONINE DELTA-24-STEROL-C-METHYLTRANSFERASE,-0.29,-0.67,0.08,0.19,0.49,0.65,0.72,0.4,0.48,0.04,0.08,-0.01,0.08,-0.34,0.34,-0.09,0.15,-0.3,-0.84,0.38,0.12,0.01,0.15,-0.09,-0.07,-0.03,-0.23,-0.27,-0.12,-0.06,-0.09,-0.14,-0.43,-0.3,0.14,0.36,0.4,0.4,0.52,0.24,0.21,0.25,0.14,-0.1,0.34,0.06,0.37,0.01,0.7,-0.74,-1.69,-2.47,-3.47,1.66,-1.15,-2.4,0.36,0.55,-0.56,-0.69,-0.76,-0.62,-0.49,-0.51,0.18,-0.62,0.24,0.41,-0.32,-0.4,-0.01,0.2,0.33,0.3,,-0.51,-0.42,-0.62,-1.74,1
2394,YPR026W,ATH1   TREHALOSE METABOLISM     VACUOLAR ACID TREHALASE,-0.17,1.14,0.3,0.5,,-0.23,-0.03,-0.29,-0.04,-0.15,0.01,-0.23,,-0.32,0.2,-0.03,-0.4,-0.2,-0.03,-0.29,-0.2,0.21,-0.6,-0.64,-0.58,-0.76,0.23,-0.01,-0.64,-0.04,-0.18,0.03,-0.06,-0.1,-0.06,0.08,-0.07,-0.14,-0.07,-0.49,-0.15,-0.36,-0.01,-0.29,-0.34,0.23,-0.01,-0.38,,0.06,-0.17,-0.06,0.08,-0.04,-0.43,-0.12,0.41,0.87,0.26,0.99,0.79,0.92,0.26,0.03,-0.64,-0.25,-0.62,-0.56,0.54,0.46,0.77,0.31,-0.06,-0.04,0.11,0.2,0.2,0.6,1.54,0
1443,YKL157W,APE2   PROTEIN DEGRADATION    AMINOPEPTIDASE YSCII,0.25,0.04,0.33,0.33,0.07,0.12,-0.1,-0.12,0.12,-0.25,0.21,0.18,-0.06,-0.07,0.07,0.23,-0.42,-0.23,0.68,0.12,0.24,0.34,-0.32,-0.3,-0.43,-0.22,-0.04,-0.1,-0.17,0.34,-0.01,0.2,-0.51,0.38,-0.43,-0.58,-0.43,-0.56,-0.25,0.74,,-0.62,-0.47,0.08,-1.18,-0.14,-1.06,-0.09,0.11,0.07,1.11,1.06,1.25,0.1,0.98,0.9,0.14,-0.17,-0.06,0.49,0.6,0.66,0.29,0.15,-0.51,-0.56,0.52,0.55,-0.17,-0.18,0.2,0.1,0.24,0.58,0.24,0.06,0.23,0.9,0.96,3
1932,YNL121C,TOM70  MITOCHONDRIAL PROTEIN TA OUTER MEMBRANE TRANSLOCASE COMPONENT,0.2,-0.36,0.34,0.16,0.44,-0.36,0.32,0.32,0.28,0.36,0.14,0.11,0.07,0.25,0.26,0.26,0.37,0.14,0.2,-0.34,-0.25,-0.06,-0.06,-0.22,0.28,,0.04,0.12,0.16,0.14,-0.23,-0.29,-0.36,-0.62,-0.36,-0.15,0.1,0.07,0.31,0.19,0.24,0.74,0.4,0.41,0.96,0.94,0.89,-0.34,-0.94,,1.42,0.93,0.59,-1.18,0.48,-0.38,-0.58,-0.18,-0.86,-0.97,-0.64,-1.29,-0.97,-0.49,0.12,0.21,-0.09,-0.3,-0.32,-0.4,-0.43,-0.2,-0.22,-0.38,-0.38,-0.34,-0.51,-0.14,0.4,3
701,YER109C,FLO8   FLOCCULATION (AND PHD)   FLO1 ACTIVATOR,-0.36,-0.12,-0.4,0.15,-0.17,0.24,-0.17,-0.04,-0.3,-0.22,-0.36,-0.07,-0.27,-0.03,-0.42,-0.03,0.07,-0.07,0.49,0.11,0.1,0.03,0.39,0.4,-0.04,-0.03,0.16,-0.07,0.19,-0.03,-0.03,0.1,-0.07,,-0.06,-0.07,-0.25,-0.32,-0.2,-0.36,-0.27,-0.14,-0.34,-1.25,-0.45,-0.58,-0.56,0.11,-0.51,-0.58,-0.64,-0.51,-0.54,0.15,-0.17,-0.03,0.2,-0.17,0.08,-0.06,0.24,0.08,-0.34,0.06,-1.0,-0.25,-0.97,-0.67,-0.1,0.39,0.72,0.76,-0.29,-0.45,-0.25,,-0.47,-0.07,-0.23,0
890,YGL253W,HXK2   GLYCOLYSIS       HEXOKINASE II,0.48,0.69,0.59,1.08,0.81,1.0,0.38,0.69,0.42,0.14,0.45,0.49,0.48,0.49,0.51,0.75,0.12,0.21,-0.49,-0.09,0.07,0.03,-0.06,0.11,0.3,0.49,0.53,0.6,0.55,0.77,0.48,0.39,-1.12,-0.38,0.12,0.33,-0.03,0.01,0.04,0.4,0.36,0.33,0.11,-0.22,0.19,-0.07,-0.03,0.21,-1.74,-1.74,-2.84,-2.4,-2.56,0.12,-1.12,-0.71,-1.74,-2.56,0.21,0.93,0.01,-0.94,-0.34,-0.71,0.28,0.21,0.97,0.75,0.3,0.16,0.21,0.04,0.5,0.6,0.52,-0.23,0.04,-0.12,-1.15,1
2153,YOR125C,CAT5   UBIQUINONE BIOSYNTHESIS  UNKNOWN,-0.09,-0.07,-0.1,0.03,,-0.07,0.06,0.04,-0.09,-0.36,-0.38,-0.12,-0.07,-0.6,-0.2,-0.45,-0.14,-0.32,0.58,0.03,0.16,0.12,0.21,-0.12,0.04,0.53,-0.27,0.06,0.18,0.29,0.04,0.08,-0.34,-0.25,0.03,,-0.25,0.1,0.23,0.7,0.43,-0.45,0.04,0.29,-0.03,-0.01,0.37,-0.22,-0.43,-0.81,-1.25,-1.4,-1.32,0.19,-0.84,-0.4,-0.6,,-0.14,0.49,,-0.15,-0.32,0.19,-0.17,0.12,-0.06,,,0.29,0.51,0.1,-0.27,-0.07,0.39,0.43,0.08,1.19,0.6,6
703,YER111C,SWI4   CELL CYCLE       TRANSCRIPTION FACTOR,-1.25,-0.3,1.32,1.33,0.5,0.14,-0.89,-0.86,-0.79,0.03,0.85,0.74,0.33,-0.23,-0.15,-0.58,-0.38,-0.51,-1.15,-0.42,-0.43,-0.15,-0.14,-0.42,-0.54,-0.38,-0.54,-0.6,-0.54,-0.36,-0.36,-0.36,-0.04,0.15,-0.14,-0.22,-0.27,-0.29,0.3,-0.07,-0.12,-0.43,-0.34,-0.79,,,-0.06,-0.03,0.01,-0.84,-0.03,-0.34,-0.64,0.24,0.78,0.44,0.11,-0.17,-0.07,0.39,-0.17,-0.45,0.11,0.24,-0.62,-0.29,-0.27,-0.58,-0.15,0.34,-0.64,0.07,0.1,-0.06,-0.04,-0.15,-0.3,-0.47,0.14,0
